Soil.w	Location.w	Sub_site.w	subsite_id.w	state	gps_n	gps_w	altitude	Visibilty.w	Temp.w	soil_condition	Collection_date.w	Day.w	collection_time.w
1155	MLBS	A1	not applicable	VA	37.37433	-80.52047	1189	overcast	humid	wet	22/05/17	142	0:00
1156	MLBS	A2	not applicable	VA	37.37447	-80.52031	1181	overcast	humid	wet	22/05/17	142	
1157	MLBS	B1	not applicable	VA	37.35365	-80.53622	1238	sunny		wet	26/06/17	177	13:44
1162	MLBS	B2	not applicable	VA	37.3537	-80.53606	1251	overcast	humid	average	4/07/17	185	14:35
1163	MLBS	C1	not applicable	VA	37.37278	-80.51878	1196	overcast	warm	average	29/05/17	149	15:06
1164	MLBS	C2	not applicable	VA	37.3729	-80.51879	1192	overcast	warm	average	29/05/17	149	15:11
1165	MLBS	D1	not applicable	VA	37.37746297	-80.52215796	1181	sunny	cool	average	6/06/17	157	17:26
1166	MLBS	D2	not applicable	VA	37.37745	-80.52209	1181	sunny	cool	average	7/06/17	158	9:12
1167	MLBS	A3	Center	VA	37.37446	-80.52032	1182	overcast	humid	wet	22/05/17	142	15:07
1168	MLBS	A3	1m-North	VA	37.37449	-80.52032	1183	overcast	humid	wet	22/05/17	142	15:16
1169	MLBS	A3	1m-East	VA	37.37449	-80.52031	1184	overcast	humid	wet	22/05/17	142	15:19
1170	MLBS	A3	1m-South	VA	37.37447	-80.52033	1187	overcast	humid	wet	22/05/17	142	15:24
1171	MLBS	A3	1m-West	VA	37.37447	-80.52035	1186	overcast	humid	wet	22/05/17	142	15:29
1172	MLBS	A4	Center	VA	37.37451	-80.52029	1187	overcast	humid	wet	22/05/17	142	15:34
1173	MLBS	A4	1m-North	VA	37.37453	-80.52028	1187	overcast	humid	wet	22/05/17	142	15:38
1174	MLBS	A4	1m-East	VA	37.37453	-80.52024	1188	overcast	humid	wet	22/05/17	142	15:43
1175	MLBS	A4	1m-South	VA	37.37452	-80.52021	1188	overcast	humid	wet	22/05/17	142	15:46
1176	MLBS	A4	1m-West	VA	37.37452	-80.52023	1188	overcast	humid	wet	22/05/17	142	15:50
1177	MLBS	A5	Center	VA	37.37431	-80.52045	1189	overcast	humid	wet	22/05/17	142	16:02
1178	MLBS	A5	1m-North	VA	37.37431	-80.52048	1187	overcast	humid	wet	22/05/17	142	16:05
1179	MLBS	A5	1m-East	VA	37.37431	-80.52044	1186	overcast	humid	wet	22/05/17	142	16:08
1180	MLBS	A5	1m-South	VA	37.37431	-80.52045	1188	overcast	humid	wet	22/05/17	142	16:13
1181	MLBS	A5	1m-West	VA	37.37431	-80.52047	1187	overcast	humid	wet	22/05/17	142	16:16
1182	MLBS	A6	Center	VA	37.37423	-80.52053	1188	overcast	humid	wet	22/05/17	142	16:21
1183	MLBS	A6	1m-North	VA	37.37424	-80.52054	1188	overcast	humid	wet	22/05/17	142	16:25
1184	MLBS	A6	1m-East	VA	37.37423	-80.52054	1188	overcast	humid	wet	22/05/17	142	16:27
1185	MLBS	A6	1m-South	VA	37.37423	-80.52053	1189	overcast	humid	wet	22/05/17	142	16:30
1186	MLBS	A6	1m-West	VA	37.37422	-80.52054	1189	overcast	humid	wet	22/05/17	142	16:34
1187	MLBS	M1	Center	VA	37.3742	-80.52094	1186	overcast	warm	average	29/05/17	149	13:58
1188	MLBS	M1	1m-North	VA	37.37426	-80.52098	1187	overcast	warm	average	29/05/17	149	14:04
1189	MLBS	M1	1m-East	VA	37.37427	-80.52097	1195	overcast	warm	average	29/05/17	149	14:07
1190	MLBS	M1	1m-South	VA	37.3742	-80.52099	1193	overcast	warm	wet	29/05/17	149	14:11
1191	MLBS	M1	1m-West	VA	37.37421	-80.5209	1193	overcast	warm	average	29/05/17	149	14:15
1192	MLBS	M2	Center	VA	37.37387	-80.52061	1192	overcast	warm	average	29/05/17	149	14:18
1193	MLBS	M2	1m-North	VA	37.37383	-80.52071	1191	overcast	warm	average	29/05/17	149	14:21
1194	MLBS	M2	1m-East	VA	37.37388	-80.52047	1194	overcast	warm	average	29/05/17	149	14:23
1195	MLBS	M2	1m-South	VA	37.37382	-80.52051	1190	overcast	warm	wet	29/05/17	149	14:25
1196	MLBS	M2	1m-West	VA	37.37386	-80.52063	1186	overcast	warm	average	29/05/17	149	14:28
1197	MLBS	M3	Center	VA	37.37384	-80.52034	1193	overcast	warm	average	29/05/17	149	14:31
1198	MLBS	M3	1m-North	VA	37.3738	-80.5204	1193	overcast	warm	average	29/05/17	149	14:34
1199	MLBS	M3	1m-East	VA	37.37385	-80.52042	1181	overcast	warm	wet	29/05/17	149	14:39
1200	MLBS	M3	1m-South	VA	37.37378	-80.52045	1184	overcast	warm	average	29/05/17	149	14:41
1201	MLBS	M3	1m-West	VA	37.37378	-80.52039	1190	overcast	warm	average	29/05/17	149	14:36
1202	MLBS	M4	Center	VA	37.37384	-80.5202	1184	overcast	warm	wet	29/05/17	149	14:47
1203	MLBS	M4	1m-North	VA	37.37376	-80.52015	1187	overcast	warm	average	29/05/17	149	14:50
1204	MLBS	M4	1m-East	VA	37.37385	-80.52008	1192	overcast	warm	average	29/05/17	149	14:53
1205	MLBS	M4	1m-South	VA	37.37384	-80.52007	1187	overcast	warm	wet	29/05/17	149	14:55
1206	MLBS	M4	1m-West	VA	37.37381	-80.52016	1181	overcast	warm	average	29/05/17	149	14:58
1207	MLBS	M5	Center	VA	37.37394	-80.5797	1193	sunny	warm	average	12/06/17	163	12:15
1208	MLBS	M5	1m-North	VA	37.37392	-80.51969	1189	sunny	warm	average	12/06/17	163	12:18
1209	MLBS	M5	1m-East	VA	37.37371	-80.51971	1192	sunny	warm	average	12/06/17	163	12:22
1210	MLBS	M5	1m-South	VA	37.37371	-80.51973	1181	sunny	warm	average	12/06/17	163	12:24
1211	MLBS	M5	1m-West	VA	37.37367	-80.51973	1187	sunny	warm	average	12/06/17	163	12:27
1212	MLBS	M6	Center	VA	37.37357	-80.51958	1194	sunny	warm	average	12/06/17	163	12:54
1213	MLBS	M6	1m-North	VA	37.37348	-80.51964	1178	sunny	warm	average	12/06/17	163	12:56
1214	MLBS	M6	1m-East	VA	37.37351	-80.51949	1172	sunny	warm	average	12/06/17	163	13:00
1215	MLBS	M6	1m-South	VA	37.37354	-80.51955	1183	sunny	warm	average	12/06/17	163	13:02
1216	MLBS	M6	1m-West	VA	37.3736	-80.51955	1190	sunny	warm	average	12/06/17	163	13:05
1217	MLBS	M7	Center	VA	37.37291	-80.51876	1202	overcast	humid	average	4/07/17	185	11:30
1218	MLBS	M7	1m-North	VA	37.3729	-80.51872	1205	overcast	humid	average	4/07/17	185	11:35
1219	MLBS	M7	1m-East	VA	37.37298	-80.5186	1203	overcast	humid	average	4/07/17	185	11:39
1220	MLBS	M7	1m-South	VA	37.37295	-80.51865	1202	overcast	humid	average	4/07/17	185	11:43
1221	MLBS	M7	1m-West	VA	37.37295	-80.51863	1201	overcast	humid	average	4/07/17	185	11:47
1222	MLBS	M8	Center	VA	37.37259	-80.51863	1206	overcast	humid	average	4/07/17	185	11:08
1223	MLBS	M8	1m-North	VA	37.37261	-80.51862	1210	overcast	humid	average	4/07/17	185	11:11
1224	MLBS	M8	1m-East	VA	37.37261	-80.51863	1200	overcast	humid	average	4/07/17	185	11:14
1225	MLBS	M8	1m-South	VA	37.37262	-80.51859	1205	overcast	humid	average	4/07/17	185	11:17
1226	MLBS	M8	1m-West	VA	37.37259	-80.51875	1208	overcast	humid	average	4/07/17	185	11:21
1227	MLBS	C3	C3	VA	37.37275	-80.51874	1202	thunderstorms	wet	wet	19/06/17	170	11:22
1228	MLBS	C4	C4	VA	37.37287	-80.51879	1206	thunderstorms	wet	wet	19/06/17	170	11:25
1229	MLBS	C5	C5	VA	37.37286	-80.51875	1202	thunderstorms	wet	wet	19/06/17	170	11:28
1230	MLBS	C6	C6	VA	37.37281	-80.51878	1198	thunderstorms	wet	wet	19/06/17	170	11:30
1231	MLBS	C7	C7	VA	37.37289	-80.51868	1201	thunderstorms	wet	wet	19/06/17	170	11:33
1232	MLBS	C8	C8	VA	37.37284	-80.51878	1200	thunderstorms	wet	wet	19/06/17	170	11:36
1233	MLBS	C9	C9	VA	37.37294	-80.51871	1198	thunderstorms	wet	wet	19/06/17	170	11:39
1234	MLBS	C10	C10	VA	37.37289	-80.51871	1199	thunderstorms	wet	wet	19/06/17	170	11:41
1235	MLBS	C11	C11	VA	37.37293	-80.51868	1197	thunderstorms	wet	wet	19/06/17	170	11:44
1236	MLBS	C12	C12	VA	37.37289	-80.51868	1201	thunderstorms	wet	wet	19/06/17	170	11:47
1237	MLBS	CT1	Center	VA	37.37296	-80.5199	1209	overcast	humid	average	4/07/17	185	12:10
1238	MLBS	CT1	1m-North	VA	37.37234	-80.51992	1207	overcast	humid	average	4/07/17	185	12:14
