Soil_sample	Site	Position	Location	Date	Day	Year	Time	Days_Since_Last_Rain	Visibility	Conditions	Temp
1			MLBS	1/09/12	244	2012	1				
2.1			MLBS	1/09/12	244	2012					
2.2			MLBS	1/09/12	244	2012	10				
3			MLBS	1/09/12	244	2012	10				
4			MLBS	1/09/12	244	2012	10				
5			MLBS	1/09/12	244	2012	18				
6			MLBS	1/09/12	244	2012	18				
7			MLBS	2/09/12	245	2012	10				
8			MLBS	2/09/12	245	2012	10				
9			MLBS	2/09/12	245	2012	10				
10			MLBS	2/09/12	245	2012	10				
11			MLBS	2/09/12	245	2012	17				
12	D17		MLBS	2/09/12	245	2012	17				
13	M1		MLBS	2/09/12	245	2012	17				
14			MLBS	2/09/12	245	2012	17				
15			MLBS	3/09/12	246	2012					
16			MLBS	3/09/12	246	2012					
17	M6		MLBS	3/09/12	246	2012					
18	M3		MLBS	2/09/12	245	2012	18.5				
19	M5		MLBS	2/09/12	245	2012	18.5				
20			MLBS	2/09/12	245	2012	18.5				
21			MLBS	4/09/12	247	2012	17				
22			MLBS	4/09/12	247	2012	17				
23			MLBS	4/09/12	247	2012	17				
24			MLBS	4/09/12	247	2012	17				
25			MLBS	4/09/12	247	2012	17				
26			MLBS	6/09/12	249	2012	14				
27			MLBS	6/09/12	249	2012	14				
28			MLBS	6/09/12	249	2012	14				
29	M7		MLBS	6/09/12	249	2012	14				
30			MLBS	6/09/12	249	2012	14				
31			MLBS	6/09/12	249	2012					
32			MLBS	6/09/12	249	2012					
33	D14		MLBS	6/09/12	249	2012					
34	D16		MLBS	6/09/12	249	2012					
35			MLBS	6/09/12	249	2012					
36			MLBS	7/09/12	250	2012	13.5				
37			MLBS	7/09/12	250	2012	13.5				
38			MLBS	7/09/12	250	2012	13.5				
39			MLBS	7/09/12	250	2012	13.5				
40			MLBS	7/09/12	250	2012	13.5				
41			MLBS	8/09/12	251	2012	12.5				
42			MLBS	8/09/12	251	2012	12.5				
43			MLBS	8/09/12	251	2012	12.5				
44	M2		MLBS	8/09/12	251	2012	12.5				
45	M4		MLBS	8/09/12	251	2012	12.5				
46			MLBS	8/09/12	251	2012	17				
47			MLBS	8/09/12	251	2012	17				
48			MLBS	8/09/12	251	2012	17				
49			MLBS	9/09/12	252	2012	16.75				
50			MLBS	9/09/12	252	2012	16.75				
51			MLBS	9/09/12	252	2012	16.75				
52			MLBS	9/09/12	252	2012	16.75				
53			MLBS	9/09/12	252	2012	16.75				
54			MLBS	9/09/12	252	2012	16.5				
55			MLBS	9/09/12	252	2012	16.5				
56			MLBS	9/09/12	252	2012	16.5				
57			MLBS	9/09/12	252	2012	16.5				
58			MLBS	9/09/12	252	2012	16.5				
59			MLBS	10/09/12	253	2012	12				
60			MLBS	11/09/12	254	2012	12				
61			MLBS	11/09/12	254	2012	12				
62			MLBS	11/09/12	254	2012	13.5				
63			MLBS	11/09/12	254	2012	13.5				
64			MLBS	11/09/12	254	2012	13.5				
65			MLBS	12/09/12	255	2012	12.5				
66	D15		MLBS	12/09/12	255	2012	12.5				
67	D15		MLBS	12/09/12	255	2012	12.5				
68	D15		MLBS	12/09/12	255	2012	12.5				
69			MLBS	12/09/12	255	2012	12.5				
70			MLBS	12/09/12	255	2012	12.5				
71			MLBS	12/09/12	255	2012					
72			MLBS	12/09/12	255	2012					
73			MLBS	12/09/12	255	2012					
74			MLBS	12/09/12	255	2012					
75			MLBS	12/09/12	255	2012					
76			MLBS	13/09/12	256	2012	14				
77			MLBS	13/09/12	256	2012	14				
78			MLBS	13/09/12	256	2012	14				
79			MLBS	13/09/12	256	2012	14				
80			MLBS	13/09/12	256	2012	14				
86			MLBS	11/06/13	161	2013					
87			MLBS	11/06/13	161	2013					
88	M2.3		MLBS	11/06/13	161	2013					
89			MLBS	11/06/13	161	2013					
90			MLBS	11/06/13	161	2013					
91			MLBS	11/06/13	161	2013	13.75				
92			MLBS	11/06/13	161	2013	13.75				
93			MLBS	11/06/13	161	2013	13.75				
94			MLBS	11/06/13	161	2013	13.75				
95			MLBS	11/06/13	161	2013	13.75				
96			MLBS	11/06/13	161	2013	13.75				
97			MLBS	11/06/13	161	2013	13.75				
98			MLBS	11/06/13	161	2013	13.75				
99			MLBS	11/06/13	161	2013	13.75				
100	M7		MLBS	11/06/13	161	2013	13.75				
101			MLBS	11/06/13	161	2013	15				
102			MLBS	11/06/13	161	2013	15				
103			MLBS	11/06/13	161	2013	15				
104			MLBS	11/06/13	161	2013	15				
105			MLBS	11/06/13	161	2013	15				
106			MLBS	11/06/13	161	2013	15				
107			MLBS	11/06/13	161	2013	15				
108			MLBS	11/06/13	161	2013	15				
109			MLBS	11/06/13	161	2013	15				
110	D14		MLBS	11/06/13	161	2013	15				
111	D18		MLBS	11/06/13	161	2013	17				
112	D18		MLBS	11/06/13	161	2013	17				
113	D18		MLBS	11/06/13	161	2013	17				
114	D17		MLBS	11/06/13	161	2013	17				
115	D17		MLBS	11/06/13	161	2013	17				
116	D17		MLBS	11/06/13	161	2013	17				
117			MLBS	11/06/13	161	2013	17				
118			MLBS	11/06/13	161	2013	17				
119			MLBS	11/06/13	161	2013	17				
120			MLBS	11/06/13	161	2013	17				
121	M1		MLBS	12/06/13	162	2013					
122	M1		MLBS	12/06/13	162	2013					
123	M1		MLBS	12/06/13	162	2013					
124	M2		MLBS	12/06/13	162	2013					
125	M2		MLBS	12/06/13	162	2013					
126	M2		MLBS	12/06/13	162	2013					
127	M3		MLBS	12/06/13	162	2013					
128	M3		MLBS	12/06/13	162	2013					
129	M3		MLBS	12/06/13	162	2013					
130	M3		MLBS	12/06/13	162	2013					
131	M4		MLBS	12/06/13	162	2013					
132	M4		MLBS	12/06/13	162	2013					
133	M4		MLBS	12/06/13	162	2013					
134	M4		MLBS	12/06/13	162	2013					
135	M4		MLBS	12/06/13	162	2013					
136	M5		MLBS	12/06/13	162	2013					
137	M5		MLBS	12/06/13	162	2013					
138	M5		MLBS	12/06/13	162	2013					
139	M5		MLBS	12/06/13	162	2013					
140	M5		MLBS	12/06/13	162	2013					
141	M6		MLBS	12/06/13	162	2013					
142	M6		MLBS	12/06/13	162	2013					
143	M6		MLBS	12/06/13	162	2013					
144	M6		MLBS	12/06/13	162	2013					
145	M6		MLBS	12/06/13	162	2013					
146	A6		MLBS	12/06/13	162	2013	14.5				
147	A6		MLBS	12/06/13	162	2013	14.5				
148	A6		MLBS	12/06/13	162	2013	14.5				
149	A6		MLBS	12/06/13	162	2013	14.5				
150	A6		MLBS	12/06/13	162	2013	14.5				
151	A5		MLBS	12/06/13	162	2013	14.5				
152	A5		MLBS	12/06/13	162	2013	14.5				
153	A5		MLBS	12/06/13	162	2013	14.5				
154	A5		MLBS	12/06/13	162	2013	14.5				
155	A5		MLBS	12/06/13	162	2013	14.5				
156	A3		MLBS	12/06/13	162	2013	14.5				
157	A3		MLBS	12/06/13	162	2013	14.5				
158	A3		MLBS	12/06/13	162	2013	14.5				
159	A3		MLBS	12/06/13	162	2013	14.5				
160	A3		MLBS	12/06/13	162	2013	14.5				
161	A4		MLBS	12/06/13	162	2013	14.5				
162	A4		MLBS	12/06/13	162	2013	14.5				
163	A4		MLBS	12/06/13	162	2013	14.5				
164	A4		MLBS	12/06/13	162	2013	14.5				
165	A4		MLBS	12/06/13	162	2013	14.5				
166	D14		MLBS	12/06/13	162	2013	17.5				
167	D14		MLBS	12/06/13	162	2013	17.5				
168	D14		MLBS	12/06/13	162	2013	17.5				
169	D14		MLBS	12/06/13	162	2013	17.5				
170	D14		MLBS	12/06/13	162	2013	17.5				
171	D15		MLBS	12/06/13	162	2013	17.5				
172	D15		MLBS	12/06/13	162	2013	17.5				
173	D15		MLBS	12/06/13	162	2013	17.5				
174	D15		MLBS	12/06/13	162	2013	17.5				
175	D15		MLBS	12/06/13	162	2013	17.5				
176	D16		MLBS	12/06/13	162	2013	19				
177	D16		MLBS	12/06/13	162	2013	19				
178	D16		MLBS	12/06/13	162	2013	19				
179	D16		MLBS	12/06/13	162	2013	19				
180	D16		MLBS	12/06/13	162	2013	19				
181			MLBS	13/06/13	163	2013	9				
182			MLBS	13/06/13	163	2013	9				
183			MLBS	13/06/13	163	2013	9				
184			MLBS	13/06/13	163	2013	9				
185			MLBS	13/06/13	163	2013	9				
186			MLBS	13/06/13	163	2013	9				
187			MLBS	13/06/13	163	2013	9				
188			MLBS	13/06/13	163	2013	9				
189			MLBS	13/06/13	163	2013	9				
190			MLBS	13/06/13	163	2013	9				
191	M7		MLBS	13/06/13	163	2013					
192	M7		MLBS	13/06/13	163	2013					
193	M7		MLBS	13/06/13	163	2013					
194	M7		MLBS	13/06/13	163	2013					
195	M7		MLBS	13/06/13	163	2013					
196	M8		MLBS	13/06/13	163	2013					
197	M8		MLBS	13/06/13	163	2013					
198	M8		MLBS	13/06/13	163	2013					
199	M8		MLBS	13/06/13	163	2013					
200	M8		MLBS	13/06/13	163	2013					
201			MLBS	13/06/13	163	2013					
202			MLBS	13/06/13	163	2013					
203			MLBS	13/06/13	163	2013					
204			MLBS	13/06/13	163	2013					
205			MLBS	13/06/13	163	2013					
206	A6		MLBS	3/10/13	275	2013	11				
207	A6		MLBS	3/10/13	275	2013	11				
208	A6		MLBS	3/10/13	275	2013	11				
209	A6		MLBS	3/10/13	275	2013	11				
210	A6		MLBS	3/10/13	275	2013	11				
211			MLBS	13/06/13	163	2013	11.75				
212			MLBS	13/06/13	163	2013	11.75				
213			MLBS	13/06/13	163	2013	11.75				
214			MLBS	13/06/13	163	2013	11.75				
215			MLBS	13/06/13	163	2013	11.75				
216			MLBS	13/06/13	163	2013	11.75				
217			MLBS	13/06/13	163	2013	11.75				
218			MLBS	13/06/13	163	2013	11.75				
219			MLBS	13/06/13	163	2013	11.75				
220	D12		MLBS	3/10/13	275	2013	11.75				
221			MLBS	3/10/13	275	2013					
222			MLBS	3/10/13	275	2013					
223	A5		MLBS	3/10/13	275	2013	11				
224	A5		MLBS	3/10/13	275	2013	11				
225	A5		MLBS	3/10/13	275	2013	11				
226	A5		MLBS	3/10/13	275	2013	11				
227	A5		MLBS	3/10/13	275	2013	11				
228	A3		MLBS	3/10/13	275	2013	11				
229	A3		MLBS	3/10/13	275	2013	11				
230	A3		MLBS	3/10/13	275	2013	11				
231	A3		MLBS	3/10/13	275	2013	11				
232	A3		MLBS	3/10/13	275	2013	11				
233	C5		MLBS	3/10/13	275	2013	12.5				
234	C3		MLBS	3/10/13	275	2013	12.5				
235	C4		MLBS	3/10/13	275	2013	12.5				
236	C6		MLBS	3/10/13	275	2013	12.5				
237	C9		MLBS	3/10/13	275	2013	12.5				
238	C7		MLBS	3/10/13	275	2013	12.5				
239	C8		MLBS	3/10/13	275	2013	12.5				
240	C10		MLBS	3/10/13	275	2013	12.5				
241	M8		MLBS	3/10/13	275	2013	12.5				
242	M7		MLBS	3/10/13	275	2013	12.5				
243			MLBS	3/10/13	275	2013	14				
244			MLBS	3/10/13	275	2013	14				
245			MLBS	3/10/13	275	2013	14				
246			MLBS	3/10/13	275	2013	14				
247			MLBS	3/10/13	275	2013	14				
248			MLBS	3/10/13	275	2013	14				
249			MLBS	3/10/13	275	2013	14				
250			MLBS	3/10/13	275	2013	14				
251			MLBS	3/10/13	275	2013	14				
252	D15		MLBS	3/10/13	275	2013	14				
253	M1		MLBS	4/10/13	276	2013	10				
254	M1		MLBS	4/10/13	276	2013	10				
255	M1		MLBS	4/10/13	276	2013	10				
256	M1		MLBS	4/10/13	276	2013	10				
257	M1		MLBS	4/10/13	276	2013	10				
258	M2		MLBS	4/10/13	276	2013	10				
259	M2		MLBS	4/10/13	276	2013	10				
260	M2		MLBS	4/10/13	276	2013	10				
261	M2		MLBS	4/10/13	276	2013	10				
262	M2		MLBS	4/10/13	276	2013	10				
263	M3		MLBS	4/10/13	276	2013	10				
264	M3		MLBS	4/10/13	276	2013	10				
265	M3		MLBS	4/10/13	276	2013	10				
266	M3		MLBS	4/10/13	276	2013	10				
267	M3		MLBS	4/10/13	276	2013	10				
268	M4		MLBS	4/10/13	276	2013	10				
269	M4		MLBS	4/10/13	276	2013	10				
270	M4		MLBS	4/10/13	276	2013	10				
271	M4		MLBS	4/10/13	276	2013	10				
272	M4		MLBS	4/10/13	276	2013	10				
273	M5		MLBS	4/10/13	276	2013	10				
274	M5		MLBS	4/10/13	276	2013	10				
275	M5		MLBS	4/10/13	276	2013	10				
276	M5		MLBS	4/10/13	276	2013	10				
277	M5		MLBS	4/10/13	276	2013	10				
278	D16		MLBS	4/10/13	276	2013	14				
279	D16		MLBS	4/10/13	276	2013	14				
280	D16		MLBS	4/10/13	276	2013	14				
281	D16		MLBS	4/10/13	276	2013	14				
282	D16		MLBS	4/10/13	276	2013	14				
283	D15		MLBS	4/10/13	276	2013	14				
284	D15		MLBS	4/10/13	276	2013	14				
285	D15		MLBS	4/10/13	276	2013	14				
286	D15		MLBS	4/10/13	276	2013	14				
287	D15		MLBS	4/10/13	276	2013	14				
288	D18		MLBS	4/10/13	276	2013	14				
289	D18		MLBS	4/10/13	276	2013	14				
290	D18		MLBS	4/10/13	276	2013	14				
291	D17		MLBS	4/10/13	276	2013	14				
292	D17		MLBS	4/10/13	276	2013	14				
293	D17		MLBS	4/10/13	276	2013	14				
294	B		MLBS	30/05/14	149	2014					
295	B		MLBS	30/05/14	149	2014					
296	B		MLBS	30/05/14	149	2014					
297	B		MLBS	30/05/14	149	2014					
298	C4		MLBS	30/05/14	149	2014					
299	C5		MLBS	30/05/14	149	2014					
300	C6		MLBS	30/05/14	149	2014					
301	C8		MLBS	30/05/14	149	2014					
302	C9		MLBS	30/05/14	149	2014					
303	C3		MLBS	30/05/14	149	2014					
304	C10		MLBS	30/05/14	149	2014					
305	C11		MLBS	30/05/14	149	2014					
