Soil	Collection_date		Day	Time	gps_n	gps+w	Altitude	5 day rainfall															
1	2012-09-01	2012-01-01	244	10:00:00	37.22375861	-80.51897																	
2.1	2012-09-01	2012-01-01	244	10:00:00	37.22375861	-80.51869																	
2.2	2012-09-01	2012-01-01	244	10:00:00	37.22372806	-80.51869																	
3	2012-09-01	2012-01-01	244	10:00:00	37.22371833	-80.51797																	
4	2012-09-01	2012-01-01	244	10:00:00	37.22376694	-80.52222																	
5	2012-09-01	2012-01-01	244	10:00:00	37.22359	-80.54150	3741																
6	2012-09-01	2012-01-01	244	10:00:00	37.22419	-80.54063	3772																
7	2012-09-02	2012-01-01	245	10:00:00	37.22546	-80.51883	3868																
8	2012-09-02	2012-01-01	245	10:00:00	37.22581	-80.51848	3848																
9	2012-09-02	2012-01-01	245	10:00:00	37.22625	-80.51828	3871																
10	2012-09-02	2012-01-01	245	10:00:00	37.22647	-80.51807	3850																
11	2012-09-02	2012-01-01	245	17:00:00	37.2264	-80.52207	3900																
12	2012-09-02	2012-01-01	245	17:00:00	37.22668	-80.52195	3893																
13	2012-09-02	2012-01-01	245	17:00:00	37.22691	-80.52183	3922																
14	2012-09-02	2012-01-01	245	17:00:00	37.22727	-80.52135	3883																
15	2012-09-03	2012-01-01	246		37.22121	-80.53383	3917																
16	2012-09-03	2012-01-01	246		37.22389	-80.53748	3776																
17	2012-09-03	2012-01-01	246		37.22357	-80.54193	3687																
18	2012-09-02	2012-01-01	245	18:30:00	37.22433	-80.52062	3902																
19	2012-09-02	2012-01-01	245	18:30:00	37.22427	-80.51978	3892																
20	2012-09-02	2012-01-01	245	18:30:00	37.22392	-80.51908	3904																
21	2012-09-04	2012-01-01	247	17:00:00	37.2103	-80.53790	4342																
22	2012-09-04	2012-01-01	247	17:00:00	37.21037	-80.53783	4336																
23	2012-09-04	2012-01-01	247	17:00:00	37.21091	-80.53808	4265																
24	2012-09-04	2012-01-01	247	17:00:00	37.21181	-80.53848	4110																
25	2012-09-04	2012-01-01	247	17:00:00	37.21235	-80.53758	4035																
26	2012-09-06	2012-01-01	249	14:00:00	37.22361	-80.51828	4307																
27	2012-09-06	2012-01-01	249	14:00:00	37.22371	-80.51875	3976																
28	2012-09-06	2012-01-01	249	14:00:00	37.22374	-80.51865	3961																
29	2012-09-06	2012-01-01	249	14:00:00	37.22365	-80.51870	3963																
30	2012-09-06	2012-01-01	249	14:00:00	37.22373	-80.51868	3972																
31	2012-09-06	2012-01-01	249			0.00000																	
32	2012-09-06	2012-01-01	249		37.22635	-80.52205	3729																
33	2012-09-06	2012-01-01	249		37.22639	-80.52212	3843																
34	2012-09-06	2012-01-01	249		37.22643	-80.52197	3907																
35	2012-09-06	2012-01-01	249		37.22637	-80.52200	3766																
36	2012-09-07	2012-01-01	250	13:30:00	37.23497	-80.48870	3493																
37	2012-09-07	2012-01-01	250	13:30:00	37.2347	-80.48952	3544																
38	2012-09-07	2012-01-01	250	13:30:00	37.23461	-80.49238	3565																
39	2012-09-07	2012-01-01	250	13:30:00	37.23518	-80.49428	3450																
40	2012-09-07	2012-01-01	250	13:30:00	37.23433	-80.50795	3721																
41	2012-09-08	2012-01-01	251	12:30:00	37.22525	-80.51998	3872																
42	2012-09-08	2012-01-01	251	12:30:00	37.22524	-80.51993																	
43	2012-09-08	2012-01-01	251	12:30:00	37.22539	-80.52073	3905																
44	2012-09-08	2012-01-01	251	12:30:00	37.22436	-80.52073	3910																
45	2012-09-08	2012-01-01	251	12:30:00	37.22411	-80.52027	4026																
46	2012-09-08	2012-01-01	251	17:00:00	37.22071	-80.53373	4040																
47	2012-09-08	2012-01-01	251	17:00:00	0.000000	0.00000																	
48	2012-09-08	2012-01-01	251	17:00:00	37.22123	-80.53398	3840																
49	2012-09-09	2012-01-01	252	12:40:00	37.21032	-80.53792	4311																
50	2012-09-09	2012-01-01	252	12:40:00	37.21036	-80.53795	4312																
51	2012-09-09	2012-01-01	252	12:40:00	37.21043	-80.53778	4295																
52	2012-09-09	2012-01-01	252	12:40:00	37.21029	-80.53785	4303																
53	2012-09-09	2012-01-01	252	12:40:00	37.21029	-80.53785	4302																
54	2012-09-09	2012-01-01	252	16:30:00	37.2255	-80.52205																	
55	2012-09-09	2012-01-01	252	16:30:00	37.21403	-80.53272	4045																
56	2012-09-09	2012-01-01	252	16:30:00	37.21374	-80.53293	4065																
57	2012-09-09	2012-01-01	252	16:30:00	0.000000	0.00000																	
58	2012-09-09	2012-01-01	252	16:30:00	37.21339	-80.53385	4007																
59	2012-09-10	2012-01-01	253	12:00:00	37.58163	-78.89585	2415																
60	2012-09-11	2012-01-01	254	12:00:00	38.00388	-78.39588	101																
61	2012-09-11	2012-01-01	254	12:00:00	38.0041	-78.39542	338																
62	2012-09-11	2012-01-01	254	13:30:00	38.0584	-78.78122	2216																
63	2012-09-11	2012-01-01	254	13:30:00	38.05826	-78.78118	2226																
64	2012-09-11	2012-01-01	254	13:30:00	38.05816	-78.78088	2229																
65	2012-09-12	2012-01-01	255	12:30:00	37.2264	-80.52208	3768																
66	2012-09-12	2012-01-01	255	12:30:00	37.22641	-80.52203	3830																
67	2012-09-12	2012-01-01	255	12:30:00	37.22642	-80.52205	3837																
68	2012-09-12	2012-01-01	255	12:30:00	37.22642	-80.52203	3848																
69	2012-09-12	2012-01-01	255	12:30:00	37.22641	-80.52203	3856																
70	2012-09-12	2012-01-01	255	12:30:00	37.2264	-80.52202	3859																
71	2012-09-12	2012-01-01	255		37.2237	-80.51878	3943																
72	2012-09-12	2012-01-01	255		37.22369	-80.51877	3960																
73	2012-09-12	2012-01-01	255		37.2237	-80.51873	3958																
74	2012-09-12	2012-01-01	255		37.22371	-80.51873	3948																
75	2012-09-12	2012-01-01	255		37.22374	-80.51867	3943																
