Location	time	latitude	longitude	altitude (m)	sym	name
MLBS	21/06/23 15:27	37.377336	-80.5221	1169.2	"Flag, Blue"	D1
MLBS	21/06/23 15:27	37.377311	-80.522094	1169.3	"Flag, Blue"	D2
MLBS	21/06/23 17:09	37.374278	-80.520852	1175.8	"Flag, Blue"	M1
MLBS	21/06/23 17:11	37.373905	-80.520672	1177.1	"Flag, Blue"	M2
MLBS	21/06/23 17:15	37.373854	-80.520445	1178.5	"Flag, Blue"	M3
MLBS	21/06/23 17:17	37.373822	-80.520077	1180.1	"Flag, Blue"	M4
MLBS	21/06/23 17:19	37.37377	-80.519747	1181.4	"Flag, Blue"	M5
MLBS	21/06/23 17:21	37.373652	-80.519523	1182.9	"Flag, Blue"	M6
MLBS	21/06/23 17:26	37.37289	-80.518847	1191.2	"Flag, Blue"	C7
MLBS	21/06/23 17:26	37.372891	-80.518773	1191.3	"Flag, Blue"	C2
MLBS	21/06/23 17:27	37.372869	-80.518766	1191.5	"Flag, Blue"	C5
MLBS	21/06/23 17:27	37.372842	-80.518752	1191.7	"Flag, Blue"	C3
MLBS	21/06/23 17:27	37.372852	-80.518771	1191.6	"Flag, Blue"	C1
MLBS	21/06/23 17:27	37.372867	-80.518767	1191.5	"Flag, Blue"	C4
MLBS	21/06/23 17:28	37.372862	-80.518775	1191.5	"Flag, Blue"	C7
MLBS	21/06/23 17:28	37.37285	-80.518776	1191.6	"Flag, Blue"	C6
MLBS	21/06/23 17:28	37.372851	-80.518734	1191.6	"Flag, Blue"	C8
MLBS	21/06/23 17:29	37.372861	-80.518726	1191.5	"Flag, Blue"	C9
MLBS	21/06/23 17:29	37.372896	-80.518729	1191.3	"Flag, Blue"	C10
MLBS	21/06/23 17:30	37.3729	-80.518711	1191.3	"Flag, Blue"	C11
MLBS	21/06/23 17:30	37.372931	-80.518716	1191.1	"Flag, Blue"	C12
MLBS	21/06/23 17:30	37.37299	-80.518681	1190.6	"Flag, Blue"	M7
MLBS	21/06/23 17:38	37.372606	-80.518604	1193.2	"Flag, Blue"	M8
MLBS	21/06/23 17:51	37.374326	-80.520508	1176.7	"Flag, Blue"	A5
MLBS	21/06/23 17:52	37.374313	-80.520516	1176.6	"Flag, Blue"	A1
MLBS	21/06/23 17:57	37.374462	-80.520367	1176.9	"Flag, Blue"	A2
MLBS	21/06/23 17:57	37.374507	-80.520378	1176.9	"Flag, Blue"	A3
MLBS	21/06/23 18:01	37.374555	-80.520243	1177	"Flag, Blue"	A4
MLBS	20/06/23 18:44	37.37449	-80.520391	1176.9	"Flag, Blue"	A3 Center
MLBS	20/06/23 21:25	37.353605	-80.536205	1236.5	"Flag, Blue"	B1
MLBS	20/06/23 21:26	37.353588	-80.536109	1237.3	"Flag, Blue"	B2
MLBS	19/06/23 13:41	37.377407	-80.522063	1168.9	"Flag, Blue"	DD
MLBS	19/06/23 13:41	37.377381	-80.522003	1168.9	"Flag, Blue"	D1
MLBS	19/06/23 13:42	37.37737	-80.52204	1169	"Flag, Blue"	DA
MLBS	19/06/23 13:42	37.377364	-80.522075	1169.1	"Flag, Blue"	DB
MLBS	19/06/23 13:43	37.377387	-80.522094	1169	"Flag, Blue"	DC
MLBS	19/06/23 13:43	37.377399	-80.522065	1169	"Flag, Blue"	DE
MLBS	19/06/23 13:43	37.377408	-80.522061	1168.9	"Flag, Blue"	41
MLBS	19/06/23 13:44	37.377366	-80.522022	1169	"Flag, Blue"	DG
