Aug_1-3640617598																		
VFclass	Virulence factors	Related genes	ma1263_3(Prediction)	A.baumannii 1656-2 	A.baumannii AB0057 	A.baumannii AB307-0294 	A.baumannii ACICU 	A.baumannii ATCC 17978 	A.baumannii AYE 	A.baumannii BJAB07104 	A.baumannii BJAB0715 	A.baumannii BJAB0868 	A.baumannii D1279779 	A.baumannii MDR-TJ 	A.baumannii MDR-ZJ06 	A.baumannii SDF 	A.baumannii TCDC-AB0715 	A.baumannii TYTH-1 
			draft (draft)	chromosome (NC_017162)	chromosome (NC_011586)	chromosome (NC_011595)	chromosome (NC_010611)	chromosome (NC_009085)	chromosome (NC_010410)	chromosome (NC_021726)	chromosome (NC_021733)	chromosome (NC_021729)	chromosome (NC_020547)	chromosome (NC_017847)	chromosome (NC_017171)	chromosome (NC_010400)	chromosome (NC_017387)	chromosome (NC_018706)
Adherence	Outer membrane protein	ompA	FKCBOABB_00611	ABK1_3141	AB57_3344	ABBFA_000621	ACICU_03089	A1S_2840	ABAYE0640	BJAB07104_03176	BJAB0715_03240	BJAB0868_03135	ABD1_27860	ABTJ_00616	ABZJ_03273	ABSDF0605	ABTW07_3309	M3Q_3327
	Type IV pili biosynthesis(Pseudomonas)	pilA	FKCBOABB_00317	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Biofilm formation	AdeFGH efflux pump/transport autoinducer	adeF	FKCBOABB_01253	ABK1_1184	AB57_2662	ABBFA_001139	ACICU_02504	A1S_2304	ABAYE1174	BJAB07104_02661	BJAB0715_02706	BJAB0868_02543	ABD1_23030	ABTJ_01214	ABZJ_02696	ABSDF1463	ABTW07_2695	M3Q_2770
		adeG	FKCBOABB_01252	ABK1_1183	AB57_2663	ABBFA_001138	ACICU_02505	A1S_2305	ABAYE1173	BJAB07104_02662	BJAB0715_02707	BJAB0868_02544	ABD1_23040	ABTJ_01213	ABZJ_02697	ABSDF1462	ABTW07_2696	M3Q_2771
		adeH	FKCBOABB_01251	ABK1_1182	AB57_2664	ABBFA_001137	ACICU_02506	A1S_2306	ABAYE1172	BJAB07104_02663	BJAB0715_02708	BJAB0868_02545	ABD1_23050	ABTJ_01212	ABZJ_02698	-	ABTW07_2697	M3Q_2772
	Biofilm-associated protein	bap	FKCBOABB_00798	ABK1_2994	AB57_3113	ABBFA_000777	ACICU_02938	A1S_2696	ABAYE0792	BJAB07104_03029	BJAB0715_03073	BJAB0868_02913	-	ABTJ_00772	-	-	ABTW07_3158	M3Q_3169
	Csu pili	csuA/B	FKCBOABB_01335	ABK1_1269	AB57_2570	ABBFA_001232	ACICU_02420	A1S_2218	ABAYE1319	BJAB07104_02577	BJAB0715_02616	BJAB0868_02459	ABD1_22150	ABTJ_01303	-	-	ABTW07_2612	M3Q_2687
		csuA	FKCBOABB_01336	ABK1_1270	AB57_2569	ABBFA_001233	ACICU_02418	A1S_2217	ABAYE1320	BJAB07104_02576	BJAB0715_02615	BJAB0868_02458	ABD1_22140	ABTJ_01304	-	-	ABTW07_2611	M3Q_2686
		csuB	FKCBOABB_01337	ABK1_1271	AB57_2568	ABBFA_001234	ACICU_02417	A1S_2216	ABAYE1321	BJAB07104_02575	BJAB0715_02614	BJAB0868_02457	ABD1_22130	ABTJ_01305	-	-	ABTW07_2610	M3Q_2685
		csuC	FKCBOABB_01338	ABK1_1272	AB57_2567	ABBFA_001235	ACICU_02416	A1S_2215	ABAYE1322	BJAB07104_02574	BJAB0715_02613	BJAB0868_02456	ABD1_22120	ABTJ_01306	-	-	ABTW07_2609	M3Q_2684
		csuD	FKCBOABB_01339	ABK1_1275	AB57_2566	ABBFA_001236	ACICU_02415	A1S_2214	ABAYE1323	BJAB07104_02573	BJAB0715_02612	BJAB0868_02455	ABD1_22110	ABTJ_01307	-	-	ABTW07_2608	M3Q_2683
		csuE	FKCBOABB_01340	ABK1_1276	AB57_2565	ABBFA_001237	ACICU_02414	A1S_2213	ABAYE1324	BJAB07104_02572	BJAB0715_02611	BJAB0868_02454	ABD1_22100	ABTJ_01308	-	-	ABTW07_2607	M3Q_2682
	PNAG (Polysaccharide poly-N-acetylglucosamine)	pgaA	-	ABK1_1325	AB57_2499	ABBFA_001302	ACICU_02365	A1S_2162	ABAYE1394	BJAB07104_02522	BJAB0715_02547	BJAB0868_02404	ABD1_21610	ABTJ_01379	ABZJ_02516	-	ABTW07_2556	M3Q_2612
		pgaB	FKCBOABB_01413	ABK1_1326	AB57_2497	ABBFA_001303	ACICU_02363	A1S_2161	ABAYE1395	BJAB07104_02521	BJAB0715_02546	BJAB0868_02403	ABD1_21600	ABTJ_01380	ABZJ_02515	-	ABTW07_2555	M3Q_2611
		pgaC	FKCBOABB_01414	ABK1_1327	AB57_2496	ABBFA_001304	ACICU_02362	A1S_2160	ABAYE1396	BJAB07104_02520	BJAB0715_02545	BJAB0868_02402	ABD1_21590	ABTJ_01381	ABZJ_02514	-	ABTW07_2554	M3Q_2610
		pgaD	FKCBOABB_01415	ABK1_1328	AB57_2495	ABBFA_001305	ACICU_02361	-	ABAYE1397	BJAB07104_02519	BJAB0715_02544	BJAB0868_02401	ABD1_21580	ABTJ_01382	ABZJ_02513	-	ABTW07_2553	M3Q_2609
Enzyme	Phospholipase C	plc	FKCBOABB_01546; FKCBOABB_03732	ABK1_0075; ABK1_1487	AB57_0084; AB57_2376	ABBFA_001421; ABBFA_003467	ACICU_00064; ACICU_02247	A1S_0043; A1S_2055	ABAYE1520; ABAYE3825	BJAB07104_00080; BJAB07104_02405	BJAB0715_00082; BJAB0715_02304	BJAB0868_00081; BJAB0868_02287	ABD1_00420; ABD1_20510	ABTJ_01495; ABTJ_03771	ABZJ_00067; ABZJ_02399	ABSDF0054; ABSDF2207	ABTW07_0072; ABTW07_2446	M3Q_2497; M3Q_274
	Phospholipase D	plcD	FKCBOABB_00514	ABK1_3242	AB57_3442	ABBFA_000523	ACICU_03190	A1S_2989	ABAYE0498	BJAB07104_03279	BJAB0715_03342	BJAB0868_03235	ABD1_28800	ABTJ_00508	ABZJ_03374	ABSDF2854	ABTW07_3406	M3Q_3423
