VFclass	Virulence factors	Related genes	ma102(Prediction)	ma1265(Prediction)	P.aeruginosa PAO1	P.entomophila L48	P.fluorescens Pf-5	P.fluorescens Pf0-1	P.mendocina ymp	P.putida KT2440	P.putida W619	P.stutzeri A1501	P.syringae 1448A	P.syringae pv. syringae B728a
Adherence	Flagella	flaG	-	BMIEOKOB_03153	PA1093	PSEEN3825	PFL_1630	Pfl_1528	Pmen_2834	PP_4377	PputW619_3702	PST_1862	PSPPH_3391	Psyr_3465
Adherence	Flagella	fleN	MMBGCLAI_02998	BMIEOKOB_03090	PA1454	PSEEN3797	PFL_1666	Pfl_1562	Pmen_2806	PP_4342	PputW619_3668	PST_2570	PSPPH_3364	Psyr_3438
Adherence	Flagella	fleQ	MMBGCLAI_03064	BMIEOKOB_03149	PA1097	PSEEN3820	PFL_1634	Pfl_1532	Pmen_2829	PP_4373	PputW619_3698	PST_2544	PSPPH_3387	Psyr_3461
Adherence	Flagella	fleR	MMBGCLAI_03062	BMIEOKOB_03146	PA1099	PSEEN3818	PFL_1636	Pfl_1534	Pmen_2827	PP_4371	PputW619_3696	PST_2542	PSPPH_3385	Psyr_3459
Adherence	Flagella	fleS	MMBGCLAI_03063	BMIEOKOB_03148	PA1098	PSEEN3819	PFL_1635	Pfl_1533	Pmen_2828	PP_4372	PputW619_3697	PST_2543	PSPPH_3386	Psyr_3460
Adherence	Flagella	flgA	MMBGCLAI_03085	BMIEOKOB_03170	PA3350	PSEEN3846	PFL_4483	Pfl_4254	Pmen_2853	PP_4394	PputW619_3735	PST_1385	PSPPH_3414	Psyr_3487
Adherence	Flagella	flgB	MMBGCLAI_03082; MMBGCLAI_04590	BMIEOKOB_03165; BMIEOKOB_04938	PA1077	PSEEN3842	PFL_4480	Pfl_4251	Pmen_2850	PP_4391	PputW619_3732	PST_1388	PSPPH_3408	Psyr_3481
Adherence	Flagella	flgC	MMBGCLAI_03081	BMIEOKOB_03164	PA1078	PSEEN3841	PFL_4479	Pfl_4250	Pmen_2849	PP_4390	PputW619_3731	PST_1389	PSPPH_3407	Psyr_3480
Adherence	Flagella	flgD	MMBGCLAI_03080	BMIEOKOB_03163	PA1079	PSEEN3840	PFL_4478	Pfl_4249	Pmen_2848	PP_4389	PputW619_3730	PST_1390	PSPPH_3406	Psyr_3479
Adherence	Flagella	flgE	MMBGCLAI_03079	BMIEOKOB_03162	PA1080	PSEEN3839	PFL_4477	Pfl_4248	Pmen_2847	PP_4388	PputW619_3729	PST_1391	PSPPH_3405	Psyr_3478
Adherence	Flagella	flgF	MMBGCLAI_03078	BMIEOKOB_03161	PA1081	PSEEN3837	PFL_1613	Pfl_1501	Pmen_2846	PP_4386	PputW619_3727	PST_1392	PSPPH_3402	Psyr_3476
Adherence	Flagella	flgG	MMBGCLAI_03077	BMIEOKOB_03160	PA1082	PSEEN3836	PFL_1614	Pfl_1502	Pmen_2845	PP_4385	PputW619_3726	PST_1393	PSPPH_3401	Psyr_3475
Adherence	Flagella	flgH	MMBGCLAI_03076	BMIEOKOB_03159	PA1083	PSEEN3835	PFL_1615	Pfl_1503	Pmen_2844	PP_4384	PputW619_3725	PST_1394	PSPPH_3400	Psyr_3474
Adherence	Flagella	flgI	MMBGCLAI_03075	BMIEOKOB_03158	PA1084	PSEEN3834	PFL_1616	Pfl_1504	Pmen_2843	PP_4383	PputW619_3724	PST_1395	PSPPH_3399	Psyr_3473
Adherence	Flagella	flgJ	MMBGCLAI_03074	BMIEOKOB_03157	PA1085	PSEEN3833	PFL_1617	Pfl_1505	Pmen_2842	PP_4382	PputW619_3723	PST_1396	PSPPH_3398	Psyr_3472
Adherence	Flagella	flgK	MMBGCLAI_03073	BMIEOKOB_03156	PA1086	PSEEN3832	PFL_1618	Pfl_1506	Pmen_2841	PP_4381	PputW619_3722	PST_1397	PSPPH_3397	Psyr_3471
Adherence	Flagella	flgL	MMBGCLAI_03072	BMIEOKOB_03155	PA1087	PSEEN3831	PFL_1619	Pfl_1507	Pmen_2840	PP_4380	PputW619_3721	PST_1398	PSPPH_3396	Psyr_3470
Adherence	Flagella	flgM	-	-	PA3351	PSEEN3847	PFL_4484	Pfl_4255	Pmen_2854	PP_4395	PputW619_3736	PST_1384	PSPPH_3415	Psyr_3488
Adherence	Flagella	flgN	MMBGCLAI_03087	BMIEOKOB_03172	PA3352	PSEEN3848	PFL_4485	Pfl_4256	Pmen_2855	PP_4396	PputW619_3737	PST_1383	PSPPH_3416	Psyr_3489
Adherence	Flagella	flhA	MMBGCLAI_03000	BMIEOKOB_03092	PA1452	PSEEN3799	PFL_1664	Pfl_1560	Pmen_2808	PP_4344	PputW619_3670	PST_2572	PSPPH_3366	Psyr_3440
Adherence	Flagella	flhB	MMBGCLAI_03002	BMIEOKOB_03094	PA1449	PSEEN3800	PFL_1654	Pfl_1552	Pmen_2809	PP_4352	PputW619_3678	PST_2574	PSPPH_3367	Psyr_3441
Adherence	Flagella	flhF	MMBGCLAI_02999	BMIEOKOB_03091	PA1453	PSEEN3798	PFL_1665	Pfl_1561	Pmen_2807	PP_4343	PputW619_3669	PST_2571	PSPPH_3365	Psyr_3439
Adherence	Flagella	fliA	MMBGCLAI_02997	BMIEOKOB_03089	PA1455	PSEEN3796	PFL_1667	Pfl_1563	Pmen_2805	PP_4341	PputW619_3667	PST_2569	PSPPH_3363	Psyr_3437
