Aug_1-6933834201																	
VFclass	Virulence factors	Related genes	ma102(Prediction)	P.aeruginosa LESB58 	P.aeruginosa PA7 	P.aeruginosa PAO1 	P.aeruginosa UCBPP-PA14 	P.entomophila L48 	P.fluorescens Pf-5 	P.fluorescens Pf0-1 	P.mendocina ymp 	P.putida KT2440 	P.putida W619 	P.stutzeri A1501 	P.syringae pv. phaseolicola 1448A 		P.syringae pv. syringae B728a 
			draft (draft)	chromosome (NC_011770)	chromosome (NC_009656)	chromosome (NC_002516)	chromosome (NC_008463)	chromosome (NC_008027)	chromosome (NC_004129)	chromosome (NC_007492)	chromosome (NC_009439)	chromosome (NC_002947)	chromosome (NC_010501)	chromosome (NC_009434)	large plasmid (NC_007274)	chromosome (NC_005773)	chromosome (NC_007005)
Adherence	Flagella	flaG	-	PLES_42281	PSPA7_4278	PA1093	PA14_50280	PSEEN3825	PFL_1630	Pfl_1528	Pmen_2834	PP_4377	PputW619_3702	PST_1862	-	PSPPH_3391	Psyr_3465
		fleN	MMBGCLAI_02998	PLES_39591	PSPA7_3873	PA1454	PA14_45640	PSEEN3797	PFL_1666	Pfl_1562	Pmen_2806	PP_4342	PputW619_3668	PST_2570	-	PSPPH_3364	Psyr_3438
		fleQ	MMBGCLAI_03064	PLES_42241	PSPA7_4274	PA1097	PA14_50220	PSEEN3820	PFL_1634	Pfl_1532	Pmen_2829	PP_4373	PputW619_3698	PST_2544	-	PSPPH_3387	Psyr_3461
		fleR	MMBGCLAI_03062	PLES_42221	PSPA7_4272	PA1099	PA14_50180	PSEEN3818	PFL_1636	Pfl_1534	Pmen_2827	PP_4371	PputW619_3696	PST_2542	-	PSPPH_3385	Psyr_3459
		fleS	MMBGCLAI_03063	PLES_42231	PSPA7_4273	PA1098	PA14_50200	PSEEN3819	PFL_1635	Pfl_1533	Pmen_2828	PP_4372	PputW619_3697	PST_2543	-	PSPPH_3386	Psyr_3460
		flgA	MMBGCLAI_03085	PLES_17141	PSPA7_1780	PA3350	PA14_20740	PSEEN3846	PFL_4483	Pfl_4254	Pmen_2853	PP_4394	PputW619_3735	PST_1385	-	PSPPH_3414	Psyr_3487
		flgB	MMBGCLAI_03082; MMBGCLAI_04590	PLES_42441	PSPA7_4300	PA1077	PA14_50480	PSEEN3842	PFL_4480	Pfl_4251	Pmen_2850	PP_4391	PputW619_3732	PST_1388	-	PSPPH_3408	Psyr_3481
		flgC	MMBGCLAI_03081	PLES_42431	PSPA7_4299	PA1078	PA14_50470	PSEEN3841	PFL_4479	Pfl_4250	Pmen_2849	PP_4390	PputW619_3731	PST_1389	-	PSPPH_3407	Psyr_3480
		flgD	MMBGCLAI_03080	PLES_42421	PSPA7_4298	PA1079	PA14_50460	PSEEN3840	PFL_4478	Pfl_4249	Pmen_2848	PP_4389	PputW619_3730	PST_1390	-	PSPPH_3406	Psyr_3479
		flgE	MMBGCLAI_03079	PLES_42411	PSPA7_4297	PA1080	PA14_50450	PSEEN3839	PFL_4477	Pfl_4248	Pmen_2847	PP_4388	PputW619_3729	PST_1391	-	PSPPH_3405	Psyr_3478
		flgF	MMBGCLAI_03078	PLES_42401	PSPA7_4296	PA1081	PA14_50440	PSEEN3837	PFL_1613	Pfl_1501	Pmen_2846	PP_4386	PputW619_3727	PST_1392	-	PSPPH_3402	Psyr_3476
		flgG	MMBGCLAI_03077	PLES_42391	PSPA7_4295	PA1082	PA14_50430	PSEEN3836	PFL_1614	Pfl_1502	Pmen_2845	PP_4385	PputW619_3726	PST_1393	-	PSPPH_3401	Psyr_3475
		flgH	MMBGCLAI_03076	PLES_42381	PSPA7_4294	PA1083	PA14_50420	PSEEN3835	PFL_1615	Pfl_1503	Pmen_2844	PP_4384	PputW619_3725	PST_1394	-	PSPPH_3400	Psyr_3474
		flgI	MMBGCLAI_03075	PLES_42371	PSPA7_4293	PA1084	PA14_50410	PSEEN3834	PFL_1616	Pfl_1504	Pmen_2843	PP_4383	PputW619_3724	PST_1395	-	PSPPH_3399	Psyr_3473
		flgJ	MMBGCLAI_03074	PLES_42361	PSPA7_4292	PA1085	PA14_50380	PSEEN3833	PFL_1617	Pfl_1505	Pmen_2842	PP_4382	PputW619_3723	PST_1396	-	PSPPH_3398	Psyr_3472
		flgK	MMBGCLAI_03073	PLES_42351	PSPA7_4291	PA1086	PA14_50360	PSEEN3832	PFL_1618	Pfl_1506	Pmen_2841	PP_4381	PputW619_3722	PST_1397	-	PSPPH_3397	Psyr_3471
		flgL	MMBGCLAI_03072	PLES_42341	PSPA7_4290	PA1087	PA14_50340	PSEEN3831	PFL_1619	Pfl_1507	Pmen_2840	PP_4380	PputW619_3721	PST_1398	-	PSPPH_3396	Psyr_3470
		flgM	-	PLES_17131	PSPA7_1779	PA3351	PA14_20730	PSEEN3847	PFL_4484	Pfl_4255	Pmen_2854	PP_4395	PputW619_3736	PST_1384	-	PSPPH_3415	Psyr_3488
		flgN	MMBGCLAI_03087	PLES_17121	PSPA7_1778	PA3352	PA14_20720	PSEEN3848	PFL_4485	Pfl_4256	Pmen_2855	PP_4396	PputW619_3737	PST_1383	-	PSPPH_3416	Psyr_3489
		flhA	MMBGCLAI_03000	PLES_39611	PSPA7_3875	PA1452	PA14_45680	PSEEN3799	PFL_1664	Pfl_1560	Pmen_2808	PP_4344	PputW619_3670	PST_2572	-	PSPPH_3366	Psyr_3440
		flhB	MMBGCLAI_03002	PLES_39641	PSPA7_3878	PA1449	PA14_45720	PSEEN3800	PFL_1654	Pfl_1552	Pmen_2809	PP_4352	PputW619_3678	PST_2574	-	PSPPH_3367	Psyr_3441
		flhF	MMBGCLAI_02999	PLES_39601	PSPA7_3874	PA1453	PA14_45660	PSEEN3798	PFL_1665	Pfl_1561	Pmen_2807	PP_4343	PputW619_3669	PST_2571	-	PSPPH_3365	Psyr_3439
		fliA	MMBGCLAI_02997	PLES_39581	PSPA7_3872	PA1455	PA14_45630	PSEEN3796	PFL_1667	Pfl_1563	Pmen_2805	PP_4341	PputW619_3667	PST_2569	-	PSPPH_3363	Psyr_3437
		fliC	MMBGCLAI_03069	PLES_42291	PSPA7_4279	PA1092	PA14_50290	PSEEN3826	PFL_1629	Pfl_1527	Pmen_2835	PP_4378	PputW619_3703	PST_1404	-	PSPPH_3392	Psyr_3466
		fliD	MMBGCLAI_03067	PLES_42271	PSPA7_4277	PA1094	PA14_50270	PSEEN3824	PFL_1631	Pfl_1529	Pmen_2833	PP_4376	PputW619_3701	PST_1863	-	PSPPH_3390	Psyr_3464
		fliE	MMBGCLAI_03017	PLES_42211	PSPA7_4271	PA1100	PA14_50160	PSEEN3817	PFL_1637	Pfl_1535	Pmen_2826	PP_4370	PputW619_3695	PST_2591	-	PSPPH_3384	Psyr_3458
		fliF	MMBGCLAI_03016	PLES_42201	PSPA7_4270	PA1101	PA14_50140	PSEEN3816	PFL_1638	Pfl_1536	Pmen_2825	PP_4369	PputW619_3694	PST_2590	-	PSPPH_3383	Psyr_3457
		fliG	MMBGCLAI_03015	PLES_42191	PSPA7_4269	PA1102	PA14_50130	PSEEN3815	PFL_1639	Pfl_1537	Pmen_2824	PP_4368	PputW619_3693	PST_2589	-	PSPPH_3382	Psyr_3456
		fliH	MMBGCLAI_03014	PLES_42181	PSPA7_4268	PA1103	PA14_50110	PSEEN3814	PFL_1640	Pfl_1538	Pmen_2823	PP_4367	PputW619_3692	PST_2588	-	PSPPH_3381	Psyr_3455
		fliI	MMBGCLAI_03013	PLES_42171	PSPA7_4267	PA1104	PA14_50100	PSEEN3813	PFL_1641	Pfl_1539	Pmen_2822	PP_4366	PputW619_3691	PST_2587	-	PSPPH_3380	Psyr_3454
		fliJ	MMBGCLAI_03012	PLES_42161	PSPA7_4266	PA1105	PA14_50080	PSEEN3812	PFL_1642	Pfl_1540	Pmen_2821	PP_4365	PputW619_3690	PST_2586	-	PSPPH_3379	Psyr_3453
		fliK	-	PLES_39721	PSPA7_3888	PA1441	PA14_45830	PSEEN3808	PFL_1646	Pfl_1544	Pmen_2817	PP_4361	PputW619_3686	PST_2582	-	PSPPH_3375	Psyr_3449
		fliL	MMBGCLAI_03009	PLES_39711	PSPA7_3885	PA1442	PA14_45810	PSEEN3807	PFL_1647	Pfl_1545	Pmen_2816	PP_4359	PputW619_3685	PST_2581	-	PSPPH_3374	Psyr_3448
		fliM	MMBGCLAI_03008	PLES_39701	PSPA7_3884	PA1443	PA14_45800	PSEEN3806	PFL_1648	Pfl_1546	Pmen_2815	PP_4358	PputW619_3684	PST_2580	-	PSPPH_3373	Psyr_3447
		fliN	MMBGCLAI_03007	PLES_39691	PSPA7_3883	PA1444	PA14_45790	PSEEN3805	PFL_1649	Pfl_1547	Pmen_2814	PP_4357	PputW619_3683	PST_2579	-	PSPPH_3372	Psyr_3446
		fliO	-	PLES_39681	PSPA7_3882	PA1445	PA14_45780	PSEEN3804	PFL_1650	Pfl_1548	Pmen_2813	PP_4356	PputW619_3682	PST_2578	-	PSPPH_3371	Psyr_3445
		fliP	MMBGCLAI_03005	PLES_39671	PSPA7_3881	PA1446	PA14_45770	PSEEN3803	PFL_1651	Pfl_1549	Pmen_2812	PP_4355	PputW619_3681	PST_2577	-	PSPPH_3370	Psyr_3444
		fliQ	MMBGCLAI_03004	PLES_39661	PSPA7_3880	PA1447	PA14_45760	PSEEN3802	PFL_1652	Pfl_1550	Pmen_2811	PP_4354	PputW619_3680	PST_2576	-	PSPPH_3369	Psyr_3443
		fliR	MMBGCLAI_03003	PLES_39651	PSPA7_3879	PA1448	PA14_45740	PSEEN3801	PFL_1653	Pfl_1551	Pmen_2810	PP_4353	PputW619_3679	PST_2575	-	PSPPH_3368	Psyr_3442
		fliS	MMBGCLAI_03066	PLES_42261	PSPA7_4276*	PA1095	PA14_50250	PSEEN3823	PFL_1632	Pfl_1530	Pmen_2831	PP_4375	PputW619_3700	PST_1866	-	PSPPH_3389	Psyr_3463
		fliT	-	PLES_42251	PSPA7_4275	PA1096	PA14_50240	PSEEN3822	PFL_1633	Pfl_1531	Pmen_2830	PP_4374	PputW619_3699	PST_2545	-	PSPPH_3388	Psyr_3462
		motA	MMBGCLAI_04038	PLES_53401	PSPA7_5683	PA4954	PA14_65450	PSEEN4958	PFL_0555	Pfl_0512	Pmen_0624	PP_4905	PputW619_4697	PST_3797	-	PSPPH_0554	Psyr_0561
		motB	MMBGCLAI_04037	PLES_53391	PSPA7_5682	PA4953	PA14_65430	PSEEN4957	PFL_0556	Pfl_0513	Pmen_0625	PP_4904	PputW619_4696	PST_3796	-	PSPPH_0555	Psyr_0562
		motC	MMBGCLAI_02992	PLES_39531	PSPA7_3866	PA1460	PA14_45560	PSEEN3791	PFL_1672	Pfl_1568	Pmen_2800	PP_4336	PputW619_3662	PST_2564	-	PSPPH_3358	Psyr_3432
		motD	MMBGCLAI_02991	PLES_39521	PSPA7_3865	PA1461	PA14_45540	PSEEN3790	PFL_1673	Pfl_1569	Pmen_2799	PP_4335	PputW619_3661	PST_2563	-	PSPPH_3357	Psyr_3431
		motY	MMBGCLAI_01754	PLES_15071	PSPA7_1621	PA3526	PA14_18720	PSEEN1209	PFL_4854	Pfl_4518	Pmen_1393	PP_1087	PputW619_1116	PST_1202	-	PSPPH_3887	Psyr_3893
	LPS O-antigen (P. aeruginosa)	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	PLES_19081; PLES_19091; PLES_19101; PLES_19111; PLES_19121; PLES_19131; PLES_19141; PLES_19151; PLES_19161; PLES_19171; PLES_19181	PSPA7_1969; PSPA7_1970; PSPA7_1971; PSPA7_1972; PSPA7_1973; PSPA7_1974; PSPA7_1975; PSPA7_1976; PSPA7_1977; PSPA7_1978; PSPA7_1979; PSPA7_1980; PSPA7_1981; PSPA7_1982; PSPA7_1983; PSPA7_1984; PSPA7_1985; PSPA7_1986	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	PA14_23360; PA14_23370; PA14_23380; PA14_23390; PA14_23400; PA14_23410; PA14_23420; PA14_23430; PA14_23440; PA14_23450; PA14_23460; PA14_23470	-	-	-	-	-	-	-	-	-	-
	Type IV pili biosynthesis	fimT	-	PLES_49321	PSPA7_5189	PA4549	-	-	-	-	Pmen_0963	-	-	PST_0975	-	-	-
		fimU	-	PLES_49331	PSPA7_5190	PA4550	PA14_60280	-	-	Pfl_4848	Pmen_0962	-	-	PST_0974	-	PSPPH_0725	Psyr_0714; Psyr_0715
		fimV	MMBGCLAI_02582	PLES_19441	PSPA7_2018	PA3115	PA14_23830	PSEEN1688	PFL_2069	Pfl_1895	Pmen_2718	PP_1993	PputW619_1554	PST_1777	-	PSPPH_1655	Psyr_1661
		pilA	-	PLES_49071	PSPA7_5161	PA4525	PA14_58730	PSEEN4666	PFL_5287	Pfl_4819	Pmen_0777	PP_0634	PputW619_4536	PST_1054	-	PSPPH_0821	Psyr_0799
		pilB	MMBGCLAI_03639	PLES_49091	PSPA7_5162	PA4526	PA14_58750	-	-	Pfl_4820	Pmen_0775	-	-	PST_1055	-	PSPPH_0820	Psyr_0798
		pilC	MMBGCLAI_03638	PLES_49101	PSPA7_5163	PA4527	PA14_58760	PSEEN4667	PFL_5288	Pfl_4821	Pmen_0774	PP_0633	PputW619_4537	PST_1056	-	PSPPH_0819	Psyr_0797
		pilD	MMBGCLAI_03637	PLES_49111	PSPA7_5164	PA4528	PA14_58770	PSEEN4668	PFL_5289	Pfl_4822	Pmen_0773	PP_0632	PputW619_4538	PST_1057	-	PSPPH_0818	Psyr_0796
		pilE	-	PLES_49391	PSPA7_5196	PA4556	PA14_60320	PSEEN4684	PFL_5311	Pfl_4842	Pmen_0957	PP_0611	PputW619_4551	PST_0968	-	PSPPH_0731	Psyr_0720
		pilF	MMBGCLAI_03357	PLES_11691	PSPA7_1309	PA3805	PA14_14850	PSEEN1019	PFL_4956	Pfl_4603	Pmen_3502	PP_0851	PputW619_4327	PST_3033	-	PSPPH_1318	Psyr_1246
		pilM	MMBGCLAI_00680	PLES_54341	PSPA7_5781	PA5044	PA14_66660	PSEEN0330	PFL_0445	Pfl_0405	Pmen_0542	PP_5083	PputW619_0383	PST_0553	-	PSPPH_0390	Psyr_0403
		pilN	MMBGCLAI_00681	PLES_54331	PSPA7_5780	PA5043	PA14_66650	PSEEN0331	PFL_0446	Pfl_0406	Pmen_0543	PP_5082	PputW619_0384	PST_0554	-	PSPPH_0391	Psyr_0404
		pilO	MMBGCLAI_00682	PLES_54321	PSPA7_5779	PA5042	PA14_66640	-	PFL_0447	Pfl_0407	Pmen_0544	-	-	PST_0555	-	PSPPH_0392	Psyr_0405
		pilP	MMBGCLAI_00683	PLES_54311	PSPA7_5778	PA5041	PA14_66630	PSEEN0332	PFL_0448	Pfl_0408	Pmen_0545	PP_5081	PputW619_0385	PST_0556	-	PSPPH_0393	Psyr_0406
		pilQ	MMBGCLAI_00684	PLES_54301	PSPA7_5777	PA5040	PA14_66620	PSEEN0333	PFL_0449	Pfl_0409	Pmen_0546	PP_5080	PputW619_0386	PST_0557	-	PSPPH_0394	Psyr_0407
