Aug_1-8894912787																
VFclass	Virulence factors	Related genes	ma1265(Prediction)	P.aeruginosa LESB58 	P.aeruginosa PA7 	P.aeruginosa PAO1 	P.aeruginosa UCBPP-PA14 	P.entomophila L48 	P.fluorescens Pf0-1 	P.mendocina ymp 	P.putida KT2440 	P.putida W619 	P.stutzeri A1501 	P.syringae pv. phaseolicola 1448A 		P.syringae pv. syringae B728a 
			draft (draft)	chromosome (NC_011770)	chromosome (NC_009656)	chromosome (NC_002516)	chromosome (NC_008463)	chromosome (NC_008027)	chromosome (NC_007492)	chromosome (NC_009439)	chromosome (NC_002947)	chromosome (NC_010501)	chromosome (NC_009434)	large plasmid (NC_007274)	chromosome (NC_005773)	chromosome (NC_007005)
Adherence	Flagella	flaG	BMIEOKOB_03153	PLES_42281	PSPA7_4278	PA1093	PA14_50280	PSEEN3825	Pfl_1528	Pmen_2834	PP_4377	PputW619_3702	PST_1862	-	PSPPH_3391	Psyr_3465
		fleN	BMIEOKOB_03090	PLES_39591	PSPA7_3873	PA1454	PA14_45640	PSEEN3797	Pfl_1562	Pmen_2806	PP_4342	PputW619_3668	PST_2570	-	PSPPH_3364	Psyr_3438
		fleQ	BMIEOKOB_03149	PLES_42241	PSPA7_4274	PA1097	PA14_50220	PSEEN3820	Pfl_1532	Pmen_2829	PP_4373	PputW619_3698	PST_2544	-	PSPPH_3387	Psyr_3461
		fleR	BMIEOKOB_03146	PLES_42221	PSPA7_4272	PA1099	PA14_50180	PSEEN3818	Pfl_1534	Pmen_2827	PP_4371	PputW619_3696	PST_2542	-	PSPPH_3385	Psyr_3459
		fleS	BMIEOKOB_03148	PLES_42231	PSPA7_4273	PA1098	PA14_50200	PSEEN3819	Pfl_1533	Pmen_2828	PP_4372	PputW619_3697	PST_2543	-	PSPPH_3386	Psyr_3460
		flgA	BMIEOKOB_03170	PLES_17141	PSPA7_1780	PA3350	PA14_20740	PSEEN3846	Pfl_4254	Pmen_2853	PP_4394	PputW619_3735	PST_1385	-	PSPPH_3414	Psyr_3487
		flgB	BMIEOKOB_03165; BMIEOKOB_04938	PLES_42441	PSPA7_4300	PA1077	PA14_50480	PSEEN3842	Pfl_4251	Pmen_2850	PP_4391	PputW619_3732	PST_1388	-	PSPPH_3408	Psyr_3481
		flgC	BMIEOKOB_03164	PLES_42431	PSPA7_4299	PA1078	PA14_50470	PSEEN3841	Pfl_4250	Pmen_2849	PP_4390	PputW619_3731	PST_1389	-	PSPPH_3407	Psyr_3480
		flgD	BMIEOKOB_03163	PLES_42421	PSPA7_4298	PA1079	PA14_50460	PSEEN3840	Pfl_4249	Pmen_2848	PP_4389	PputW619_3730	PST_1390	-	PSPPH_3406	Psyr_3479
		flgE	BMIEOKOB_03162	PLES_42411	PSPA7_4297	PA1080	PA14_50450	PSEEN3839	Pfl_4248	Pmen_2847	PP_4388	PputW619_3729	PST_1391	-	PSPPH_3405	Psyr_3478
		flgF	BMIEOKOB_03161	PLES_42401	PSPA7_4296	PA1081	PA14_50440	PSEEN3837	Pfl_1501	Pmen_2846	PP_4386	PputW619_3727	PST_1392	-	PSPPH_3402	Psyr_3476
		flgG	BMIEOKOB_03160	PLES_42391	PSPA7_4295	PA1082	PA14_50430	PSEEN3836	Pfl_1502	Pmen_2845	PP_4385	PputW619_3726	PST_1393	-	PSPPH_3401	Psyr_3475
		flgH	BMIEOKOB_03159	PLES_42381	PSPA7_4294	PA1083	PA14_50420	PSEEN3835	Pfl_1503	Pmen_2844	PP_4384	PputW619_3725	PST_1394	-	PSPPH_3400	Psyr_3474
		flgI	BMIEOKOB_03158	PLES_42371	PSPA7_4293	PA1084	PA14_50410	PSEEN3834	Pfl_1504	Pmen_2843	PP_4383	PputW619_3724	PST_1395	-	PSPPH_3399	Psyr_3473
		flgJ	BMIEOKOB_03157	PLES_42361	PSPA7_4292	PA1085	PA14_50380	PSEEN3833	Pfl_1505	Pmen_2842	PP_4382	PputW619_3723	PST_1396	-	PSPPH_3398	Psyr_3472
		flgK	BMIEOKOB_03156	PLES_42351	PSPA7_4291	PA1086	PA14_50360	PSEEN3832	Pfl_1506	Pmen_2841	PP_4381	PputW619_3722	PST_1397	-	PSPPH_3397	Psyr_3471
		flgL	BMIEOKOB_03155	PLES_42341	PSPA7_4290	PA1087	PA14_50340	PSEEN3831	Pfl_1507	Pmen_2840	PP_4380	PputW619_3721	PST_1398	-	PSPPH_3396	Psyr_3470
		flgM	-	PLES_17131	PSPA7_1779	PA3351	PA14_20730	PSEEN3847	Pfl_4255	Pmen_2854	PP_4395	PputW619_3736	PST_1384	-	PSPPH_3415	Psyr_3488
		flgN	BMIEOKOB_03172	PLES_17121	PSPA7_1778	PA3352	PA14_20720	PSEEN3848	Pfl_4256	Pmen_2855	PP_4396	PputW619_3737	PST_1383	-	PSPPH_3416	Psyr_3489
		flhA	BMIEOKOB_03092	PLES_39611	PSPA7_3875	PA1452	PA14_45680	PSEEN3799	Pfl_1560	Pmen_2808	PP_4344	PputW619_3670	PST_2572	-	PSPPH_3366	Psyr_3440
		flhB	BMIEOKOB_03094	PLES_39641	PSPA7_3878	PA1449	PA14_45720	PSEEN3800	Pfl_1552	Pmen_2809	PP_4352	PputW619_3678	PST_2574	-	PSPPH_3367	Psyr_3441
		flhF	BMIEOKOB_03091	PLES_39601	PSPA7_3874	PA1453	PA14_45660	PSEEN3798	Pfl_1561	Pmen_2807	PP_4343	PputW619_3669	PST_2571	-	PSPPH_3365	Psyr_3439
		fliA	BMIEOKOB_03089	PLES_39581	PSPA7_3872	PA1455	PA14_45630	PSEEN3796	Pfl_1563	Pmen_2805	PP_4341	PputW619_3667	PST_2569	-	PSPPH_3363	Psyr_3437
		fliC	BMIEOKOB_03154	PLES_42291	PSPA7_4279	PA1092	PA14_50290	PSEEN3826	Pfl_1527	Pmen_2835	PP_4378	PputW619_3703	PST_1404	-	PSPPH_3392	Psyr_3466
		fliD	BMIEOKOB_03152	PLES_42271	PSPA7_4277	PA1094	PA14_50270	PSEEN3824	Pfl_1529	Pmen_2833	PP_4376	PputW619_3701	PST_1863	-	PSPPH_3390	Psyr_3464
		fliE	BMIEOKOB_03109	PLES_42211	PSPA7_4271	PA1100	PA14_50160	PSEEN3817	Pfl_1535	Pmen_2826	PP_4370	PputW619_3695	PST_2591	-	PSPPH_3384	Psyr_3458
		fliF	BMIEOKOB_03108	PLES_42201	PSPA7_4270	PA1101	PA14_50140	PSEEN3816	Pfl_1536	Pmen_2825	PP_4369	PputW619_3694	PST_2590	-	PSPPH_3383	Psyr_3457
		fliG	BMIEOKOB_03107	PLES_42191	PSPA7_4269	PA1102	PA14_50130	PSEEN3815	Pfl_1537	Pmen_2824	PP_4368	PputW619_3693	PST_2589	-	PSPPH_3382	Psyr_3456
		fliH	BMIEOKOB_03106	PLES_42181	PSPA7_4268	PA1103	PA14_50110	PSEEN3814	Pfl_1538	Pmen_2823	PP_4367	PputW619_3692	PST_2588	-	PSPPH_3381	Psyr_3455
		fliI	BMIEOKOB_03105	PLES_42171	PSPA7_4267	PA1104	PA14_50100	PSEEN3813	Pfl_1539	Pmen_2822	PP_4366	PputW619_3691	PST_2587	-	PSPPH_3380	Psyr_3454
		fliJ	BMIEOKOB_03104	PLES_42161	PSPA7_4266	PA1105	PA14_50080	PSEEN3812	Pfl_1540	Pmen_2821	PP_4365	PputW619_3690	PST_2586	-	PSPPH_3379	Psyr_3453
		fliK	-	PLES_39721	PSPA7_3888	PA1441	PA14_45830	PSEEN3808	Pfl_1544	Pmen_2817	PP_4361	PputW619_3686	PST_2582	-	PSPPH_3375	Psyr_3449
		fliL	BMIEOKOB_03101	PLES_39711	PSPA7_3885	PA1442	PA14_45810	PSEEN3807	Pfl_1545	Pmen_2816	PP_4359	PputW619_3685	PST_2581	-	PSPPH_3374	Psyr_3448
		fliM	BMIEOKOB_03100	PLES_39701	PSPA7_3884	PA1443	PA14_45800	PSEEN3806	Pfl_1546	Pmen_2815	PP_4358	PputW619_3684	PST_2580	-	PSPPH_3373	Psyr_3447
		fliN	BMIEOKOB_03099	PLES_39691	PSPA7_3883	PA1444	PA14_45790	PSEEN3805	Pfl_1547	Pmen_2814	PP_4357	PputW619_3683	PST_2579	-	PSPPH_3372	Psyr_3446
		fliO	-	PLES_39681	PSPA7_3882	PA1445	PA14_45780	PSEEN3804	Pfl_1548	Pmen_2813	PP_4356	PputW619_3682	PST_2578	-	PSPPH_3371	Psyr_3445
		fliP	BMIEOKOB_03097	PLES_39671	PSPA7_3881	PA1446	PA14_45770	PSEEN3803	Pfl_1549	Pmen_2812	PP_4355	PputW619_3681	PST_2577	-	PSPPH_3370	Psyr_3444
		fliQ	BMIEOKOB_03096	PLES_39661	PSPA7_3880	PA1447	PA14_45760	PSEEN3802	Pfl_1550	Pmen_2811	PP_4354	PputW619_3680	PST_2576	-	PSPPH_3369	Psyr_3443
		fliR	BMIEOKOB_03095	PLES_39651	PSPA7_3879	PA1448	PA14_45740	PSEEN3801	Pfl_1551	Pmen_2810	PP_4353	PputW619_3679	PST_2575	-	PSPPH_3368	Psyr_3442
		fliS	BMIEOKOB_03151	PLES_42261	PSPA7_4276*	PA1095	PA14_50250	PSEEN3823	Pfl_1530	Pmen_2831	PP_4375	PputW619_3700	PST_1866	-	PSPPH_3389	Psyr_3463
		fliT	-	PLES_42251	PSPA7_4275	PA1096	PA14_50240	PSEEN3822	Pfl_1531	Pmen_2830	PP_4374	PputW619_3699	PST_2545	-	PSPPH_3388	Psyr_3462
		motA	BMIEOKOB_04192	PLES_53401	PSPA7_5683	PA4954	PA14_65450	PSEEN4958	Pfl_0512	Pmen_0624	PP_4905	PputW619_4697	PST_3797	-	PSPPH_0554	Psyr_0561
		motB	BMIEOKOB_04191	PLES_53391	PSPA7_5682	PA4953	PA14_65430	PSEEN4957	Pfl_0513	Pmen_0625	PP_4904	PputW619_4696	PST_3796	-	PSPPH_0555	Psyr_0562
