Filename	Organism	Contigs	Bases	CDS	Gene	mRNA	tRNA	tmRNA
GCA_000013425.1_ASM1342v1_genomic	Genus species strain	1	2821361	2630	2693	2693	62	1
GCA_000709415.1_ASM70941v1_genomic	Genus species strain	1	2757557	2513	2573	2573	59	1
GCA_001611955.1_ASM161195v1_genomic	Genus species strain	2	2560146	2458	2521	2521	62	1
GCA_002208805.2_ASM220880v2_genomic	Genus species strain	1	2502360	2313	2373	2373	59	1
GCA_003571725.1_ASM357172v1_genomic	Genus species strain	2	2541629	2434	2497	2497	62	1
GCA_003812505.1_ASM381250v1_genomic	Genus species strain	3	2257431	2166	2229	2229	62	1
GCA_006094375.1_ASM609437v1_genomic	Genus species strain	3	2491058	2259	2320	2320	60	1
GCA_016599795.1_ASM1659979v1_genomic	Genus species strain	2	2484808	2377	2439	2439	61	1
GCA_025272815.1_ASM2527281v1_genomic	Genus species strain	2	2491837	2321	2384	2384	62	1
GCF_000013425.1_ASM1342v1_genomic	Genus species strain	1	2821361	2630	2693	2693	62	1
GCF_000709415.1_ASM70941v1_genomic	Genus species strain	1	2757557	2513	2573	2573	59	1
GCF_001611955.1_ASM161195v1_genomic	Genus species strain	2	2560146	2458	2521	2521	62	1
GCF_002208805.2_ASM220880v2_genomic	Genus species strain	1	2502360	2313	2373	2373	59	1
GCF_003571725.1_ASM357172v1_genomic	Genus species strain	2	2541629	2434	2497	2497	62	1
GCF_003812505.1_ASM381250v1_genomic	Genus species strain	3	2257431	2166	2229	2229	62	1
GCF_006094375.1_ASM609437v1_genomic	Genus species strain	3	2491058	2259	2320	2320	60	1
GCF_016599795.1_ASM1659979v1_genomic	Genus species strain	2	2484808	2377	2439	2439	61	1
GCF_025272815.1_ASM2527281v1_genomic	Genus species strain	2	2491837	2321	2384	2384	62	1
ma1263_1_4_pseudo	Genus species strain	1	2764402	2799	2862	2862	62	1
ma1263_1_canu_4_pseudo	Genus species strain	3	2642840	2704	2764	2764	59	1
GCF_000006765.1_ASM676v1_genomic	Genus species strain	1	6264404	5671	5745	5745	73	1
GCF_000010125.1_ASM1012v1_genomic	Genus species strain	3	2577899	2501	2562	2562	60	1
GCF_000063585.1_ASM6358v1_genomic	Genus species strain	2	3903260	3563	3642	3642	79	N/A
GCF_000195955.2_ASM19595v2_genomic	Genus species strain	1	4411532	4070	4124	4124	53	1
GCF_000246755.1_ASM24675v1_genomic	Genus species strain	1	1139330	970	1016	1016	45	1
GCF_000709415.1_ASM70941v1_genomic	Genus species strain	1	2757557	2513	2573	2573	59	1
GCF_003387165.1_ASM338716v1_genomic	Genus species strain	17	2232970	2260	2314	2314	53	1
